Time,Latitude,Longitude
2021-11-17 20:22:36,-34.57016700,-58.43241370
2021-11-17 22:09:41,-34.57075520,-58.43156940
2021-11-17 22:12:23,-34.57050420,-58.43161590
2021-11-17 22:17:07,-34.57065160,-58.43295990
2021-11-17 22:19:58,-34.57107070,-58.43192360
2021-11-17 22:22:06,-34.57034220,-58.43131010
2021-11-17 22:26:31,-34.57064280,-58.43185070
2021-11-17 22:28:30,-34.57060630,-58.43210810
2021-11-17 22:30:48,-34.57016700,-58.43241370
2021-11-17 23:27:54,-34.57055360,-58.43169180
2021-11-18 00:59:59,-34.57016700,-58.43241370
2021-11-18 02:50:14,-34.57016700,-58.43241370
2021-11-18 02:52:14,-34.57016700,-58.43241370
2021-11-18 02:55:14,-34.57077160,-58.43305970
2021-11-18 02:57:50,-34.57172870,-58.43250790
2021-11-18 02:57:58,-34.57201830,-58.43276940
2021-11-18 03:03:49,-34.57131390,-58.43217960
2021-11-18 03:07:16,-34.56998290,-58.43099860
2021-11-18 03:10:47,-34.57108510,-58.43211990
2021-11-18 03:13:53,-34.57009750,-58.43233060
2021-11-18 03:18:54,-34.56951150,-58.43206050
2021-11-18 03:21:25,-34.57093980,-58.43178870
2021-11-18 03:25:10,-34.57016700,-58.43241370
2021-11-18 04:30:40,-34.57057100,-58.43222580
2021-11-18 05:15:55,-34.57016700,-58.43241370
2021-11-18 05:57:45,-34.57072750,-58.43176290
2021-11-18 05:59:44,-34.57016700,-58.43241370
2021-11-18 07:07:22,-34.57016700,-58.43241370
2021-11-18 07:18:04,-34.57016700,-58.43241370
2021-11-18 08:00:35,-34.57016700,-58.43241370
2021-11-18 08:08:54,-34.57016700,-58.43241370
2021-11-18 08:10:56,-34.57016700,-58.43241370
2021-11-18 08:21:53,-34.57016700,-58.43241370
2021-11-18 08:31:43,-34.57016700,-58.43241370
2021-11-18 08:45:05,-34.57016700,-58.43241370
2021-11-18 08:55:18,-34.57016700,-58.43241370
2021-11-18 09:00:29,-34.57016700,-58.43241370
2021-11-18 09:36:33,-34.57016700,-58.43241370
2021-11-18 09:56:41,-34.57016700,-58.43241370
2021-11-18 10:06:05,-34.57016700,-58.43241370
2021-11-18 10:23:27,-34.57016700,-58.43241370
2021-11-18 10:55:35,-34.57016700,-58.43241370
2021-11-18 10:57:40,-34.57016700,-58.43241370
2021-11-18 11:01:51,-34.57016700,-58.43241370
2021-11-18 11:13:52,-34.57016700,-58.43241370
2021-11-18 11:30:45,-34.57016700,-58.43241370
2021-11-18 11:53:08,-34.57016700,-58.43241370
2021-11-18 13:33:49,-34.57016700,-58.43241370
2021-11-18 14:14:36,-34.57016700,-58.43241370
2021-11-18 15:08:37,-34.57076580,-58.43157850
2021-11-18 17:32:36,-34.57016700,-58.43241370
2021-11-18 17:48:47,-34.57016700,-58.43241370
2021-11-18 18:49:51,-34.57016700,-58.43241370
2021-11-18 18:51:52,-34.57016700,-58.43241370
2021-11-18 18:53:51,-34.57016700,-58.43241370
2021-11-18 19:06:36,-34.57016700,-58.43241370
2021-11-18 19:13:43,-34.57016700,-58.43241370
2021-11-18 19:27:32,-34.57016700,-58.43241370
2021-11-18 20:17:53,-34.57016700,-58.43241370
2021-11-18 21:37:35,-34.57016700,-58.43241370
2021-11-18 21:45:19,-34.57060350,-58.43205480
2021-11-18 21:47:21,-34.57041400,-58.43174760
2021-11-18 22:57:21,-34.57039830,-58.43178720
2021-11-18 22:59:22,-34.57061350,-58.43205580
2021-11-18 23:13:41,-34.57069210,-58.43168050
2021-11-18 23:26:56,-34.57056580,-58.43232510
2021-11-18 23:31:28,-34.57016700,-58.43241370
2021-11-18 23:33:48,-34.57056690,-58.43224380
2021-11-19 00:20:40,-34.57016700,-58.43241370
2021-11-19 00:35:48,-34.57058450,-58.43230120
2021-11-19 00:58:22,-34.57016700,-58.43241370
2021-11-19 01:27:50,-34.57067340,-58.43179940
2021-11-19 01:30:23,-34.57075640,-58.43171450
2021-11-19 01:32:23,-34.57014890,-58.43188940
2021-11-19 01:33:03,-34.57009220,-58.43246820
2021-11-19 01:34:13,-34.57080300,-58.43310970
2021-11-19 01:35:18,-34.57132630,-58.43240610
2021-11-19 01:36:27,-34.57170610,-58.43238530
2021-11-19 01:37:33,-34.57190970,-58.43265930
2021-11-19 01:37:42,-34.57052320,-58.43231760
2021-11-19 01:37:43,-34.57073720,-58.43240340
2021-11-19 01:38:28,-34.57199980,-58.43284990
2021-11-19 01:39:37,-34.57218880,-58.43296860
2021-11-19 01:40:47,-34.57235880,-58.43304130
2021-11-19 01:42:07,-34.57234300,-58.43290980
2021-11-19 01:43:13,-34.57262190,-58.43320900
2021-11-19 01:44:23,-34.57249100,-58.43329670
2021-11-19 01:45:33,-34.57216060,-58.43288350
2021-11-19 01:46:40,-34.57136820,-58.43241230
2021-11-19 01:47:46,-34.57105990,-58.43184580
2021-11-19 01:48:46,-34.57067770,-58.43185380
2021-11-19 01:51:29,-34.57016700,-58.43241370
2021-11-19 01:54:29,-34.57016700,-58.43241370
2021-11-19 02:30:20,-34.57065530,-58.43186710
2021-11-19 02:33:43,-34.57016700,-58.43241370
2021-11-19 02:42:20,-34.57016700,-58.43241370
2021-11-19 03:55:00,-34.57016700,-58.43241370
2021-11-19 05:21:46,-34.57016700,-58.43241370
2021-11-19 06:10:15,-34.57016700,-58.43241370
2021-11-19 06:37:57,-34.57016700,-58.43241370
2021-11-19 07:56:54,-34.57016700,-58.43241370
2021-11-19 08:42:34,-34.57016700,-58.43241370
2021-11-19 08:52:40,-34.57016700,-58.43241370
2021-11-19 09:22:26,-34.57016700,-58.43241370
2021-11-19 10:10:40,-34.57016700,-58.43241370
2021-11-19 10:20:29,-34.57016700,-58.43241370
2021-11-19 10:53:58,-34.57016700,-58.43241370
2021-11-19 11:22:51,-34.57016700,-58.43241370
2021-11-19 11:51:25,-34.57016700,-58.43241370
2021-11-19 11:59:28,-34.57016700,-58.43241370
2021-11-19 12:43:04,-34.57016700,-58.43241370
2021-11-19 12:56:40,-34.57016700,-58.43241370
2021-11-19 13:17:40,-34.57016700,-58.43241370
2021-11-19 13:48:16,-34.57062190,-58.43198040
2021-11-19 13:50:39,-34.57016700,-58.43241370
2021-11-19 15:36:29,-34.57083110,-58.43170460
2021-11-19 16:26:43,-34.57016700,-58.43241370
2021-11-19 16:49:23,-34.57063980,-58.43195540
2021-11-19 18:01:48,-34.57040660,-58.43176170
2021-11-19 18:05:14,-34.57093920,-58.43309900
2021-11-19 18:16:17,-34.57076740,-58.43168980
2021-11-19 18:18:25,-34.57016700,-58.43241370
2021-11-19 21:51:39,-34.57016700,-58.43241370
2021-11-19 21:58:39,-34.57069220,-58.43200090
2021-11-19 23:19:25,-34.57059830,-58.43159370
2021-11-19 23:24:22,-34.57016700,-58.43241370
2021-11-19 23:26:43,-34.57068190,-58.43185860
2021-11-19 23:29:59,-34.57016700,-58.43241370
2021-11-19 23:33:20,-34.57073720,-58.43240340
2021-11-19 23:37:46,-34.55881490,-58.44591890
2021-11-19 23:39:42,-34.55852050,-58.44566770
2021-11-19 23:47:42,-34.55879160,-58.44560450
2021-11-19 23:49:14,-34.56437560,-58.43545150
2021-11-19 23:51:52,-34.56996230,-58.43234180
2021-11-19 23:54:18,-34.57089630,-58.43178690
2021-11-19 23:56:42,-34.57071970,-58.43188220
2021-11-20 00:23:38,-34.57016700,-58.43241370
2021-11-20 00:28:54,-34.57016700,-58.43241370
2021-11-20 00:36:30,-34.57016700,-58.43241370
2021-11-20 00:40:17,-34.57057910,-58.43224160
2021-11-20 00:46:29,-34.57016700,-58.43241370
2021-11-20 00:51:28,-34.57016700,-58.43241370
2021-11-20 01:03:51,-34.57016700,-58.43241370
2021-11-20 01:39:55,-34.57016700,-58.43241370
2021-11-20 02:14:19,-34.57016700,-58.43241370
2021-11-20 02:58:53,-34.57016700,-58.43241370
2021-11-20 03:01:23,-34.57016700,-58.43241370
2021-11-20 03:03:47,-34.57068370,-58.43166550
2021-11-20 03:07:31,-34.56986270,-58.43082590
2021-11-20 03:11:45,-34.57019070,-58.43245110
2021-11-20 03:14:19,-34.57121070,-58.43275330
2021-11-20 03:17:27,-34.57053860,-58.43223130
2021-11-20 03:18:35,-34.57246420,-58.43307070
2021-11-20 03:21:03,-34.57051930,-58.43226530
2021-11-20 03:22:58,-34.57066610,-58.43161240
2021-11-20 03:27:35,-34.57050470,-58.43237140
2021-11-20 08:45:22,-34.57059940,-58.43213900
2021-11-20 08:47:28,-34.57016700,-58.43241370
2021-11-20 12:01:56,-34.57054490,-58.43242760
2021-11-20 12:08:07,-34.57059440,-58.43246420
2021-11-20 15:03:21,-34.57016700,-58.43241370
2021-11-20 16:14:51,-34.57016700,-58.43241370
2021-11-20 17:11:15,-34.57067620,-58.43190090
2021-11-20 17:16:04,-34.57042660,-58.43172300
2021-11-20 18:16:39,-34.57076310,-58.43161820
2021-11-20 18:18:41,-34.57066220,-58.43188590
2021-11-20 18:20:39,-34.57051030,-58.43231410
2021-11-20 18:23:21,-34.56428840,-58.43939570
2021-11-20 18:25:55,-34.55882420,-58.44402550
2021-11-20 18:27:41,-34.55316620,-58.43918540
2021-11-20 18:30:00,-34.55407050,-58.43852680
2021-11-20 18:32:21,-34.55208190,-58.44162870
2021-11-20 18:33:44,-34.55196590,-58.43729330
2021-11-20 18:35:29,-34.54973620,-58.43727200
2021-11-20 18:37:32,-34.53943700,-58.45528440
2021-11-20 18:39:51,-34.53841320,-58.47578800
2021-11-20 18:42:02,-34.53509020,-58.47370960
2021-11-20 18:44:03,-34.53396680,-58.47194350
2021-11-20 18:46:03,-34.53245820,-58.47096380
2021-11-20 18:48:20,-34.53461170,-58.46754610
2021-11-20 18:50:28,-34.53965900,-58.47598030
2021-11-20 18:52:43,-34.54522110,-58.47266790
2021-11-20 18:54:42,-34.55049090,-58.46679160
2021-11-20 18:54:54,-34.55034400,-58.46724200
2021-11-20 18:57:55,-34.55066390,-58.46686920
2021-11-20 19:03:06,-34.55094550,-58.46648570
2021-11-20 19:06:45,-34.55075770,-58.46681680
2021-11-20 19:09:30,-34.55120110,-58.46734070
2021-11-20 19:18:22,-34.55085000,-58.46690080
2021-11-20 19:20:28,-34.55492950,-58.46324280
2021-11-20 19:23:07,-34.55695460,-58.46001510
2021-11-20 19:25:17,-34.55289320,-58.45289750
2021-11-20 19:28:00,-34.55890290,-58.44571960
2021-11-20 19:32:32,-34.55874670,-58.44563240
2021-11-20 19:36:12,-34.55898650,-58.44553450
2021-11-20 19:38:02,-34.55490880,-58.43741350
2021-11-20 19:40:12,-34.55332920,-58.43724400
2021-11-20 19:41:38,-34.55792850,-58.44491410
2021-11-20 19:42:32,-34.55826240,-58.44549530
2021-11-20 19:43:49,-34.56008020,-58.44485110
2021-11-20 19:44:43,-34.56293870,-58.43811590
2021-11-20 19:46:21,-34.56989500,-58.43229580
2021-11-20 19:50:11,-34.57062180,-58.43166430
2021-11-20 19:53:08,-34.57067540,-58.43184490
2021-11-20 19:57:09,-34.57016700,-58.43241370
2021-11-20 19:58:42,-34.57049170,-58.43201520
2021-11-20 20:01:10,-34.56698930,-58.43848990
2021-11-20 20:05:18,-34.55980760,-58.44506780
2021-11-20 20:08:11,-34.55252770,-58.45020490
2021-11-20 20:11:10,-34.55252540,-58.45021290
2021-11-20 20:16:13,-34.55263300,-58.45038550
2021-11-20 20:56:34,-34.55367530,-58.45025520
