Time,Latitude,Longitude,Accuracy,Altitude,VerticalAccuracy,Velocity,Heading,DetectedActivties,UNKNOWN,STILL,TILTING,ON_FOOT,WALKING,RUNNING,IN_VEHICLE,ON_BICYCLE,IN_ROAD_VEHICLE,IN_RAIL_VEHICLE,IN_TWO_WHEELER_VEHICLE,IN_FOUR_WHEELER_VEHICLE
2021-11-17 20:22:36,-34.57016700,-58.43241370,31,10,14,,,0,,,,,,,,,,,,
2021-11-17 22:09:41,-34.57075520,-58.43156940,35,9,9,,,0,,,,,,,,,,,,
2021-11-17 22:12:23,-34.57050420,-58.43161590,35,7,14,,,0,,,,,,,,,,,,
2021-11-17 22:17:07,-34.57065160,-58.43295990,35,8,14,,,0,,,,,,,,,,,,
2021-11-17 22:19:58,-34.57107070,-58.43192360,32,7,3,0,,0,,,,,,,,,,,,
2021-11-17 22:22:06,-34.57034220,-58.43131010,64,4,3,0,,0,,,,,,,,,,,,
2021-11-17 22:26:31,-34.57064280,-58.43185070,35,7,15,,,0,,,,,,,,,,,,
2021-11-17 22:28:30,-34.57060630,-58.43210810,35,10,13,,,0,,,,,,,,,,,,
2021-11-17 22:30:48,-34.57016700,-58.43241370,31,7,13,,,0,,,,,,,,,,,,
2021-11-17 23:27:54,-34.57055360,-58.43169180,39,7,15,,,0,,,,,,,,,,,,
2021-11-18 00:59:59,-34.57016700,-58.43241370,31,11,11,,,0,,,,,,,,,,,,
2021-11-18 02:50:14,-34.57016700,-58.43241370,31,10,14,,,0,,,,,,,,,,,,
2021-11-18 02:52:14,-34.57016700,-58.43241370,31,10,14,,,0,,,,,,,,,,,,
2021-11-18 02:55:14,-34.57077160,-58.43305970,35,8,11,,,0,,,,,,,,,,,,
2021-11-18 02:57:50,-34.57172870,-58.43250790,48,8,14,,,0,,,,,,,,,,,,
2021-11-18 02:57:58,-34.57201830,-58.43276940,40,,,,,0,,,,,,,,,,,,
2021-11-18 03:03:49,-34.57131390,-58.43217960,35,8,16,,,0,,,,,,,,,,,,
2021-11-18 03:07:16,-34.56998290,-58.43099860,39,4,3,3,,0,,,,,,,,,,,,
2021-11-18 03:10:47,-34.57108510,-58.43211990,126,,,,,0,,,,,,,,,,,,
2021-11-18 03:13:53,-34.57009750,-58.43233060,27,,,,,0,,,,,,,,,,,,
2021-11-18 03:18:54,-34.56951150,-58.43206050,35,7,15,,,0,,,,,,,,,,,,
2021-11-18 03:21:25,-34.57093980,-58.43178870,35,7,14,,,0,,,,,,,,,,,,
2021-11-18 03:25:10,-34.57016700,-58.43241370,31,10,14,,,0,,,,,,,,,,,,
2021-11-18 04:30:40,-34.57057100,-58.43222580,35,10,8,,,0,,,,,,,,,,,,
2021-11-18 05:15:55,-34.57016700,-58.43241370,31,9,5,,,0,,,,,,,,,,,,
2021-11-18 05:57:45,-34.57072750,-58.43176290,35,8,13,,,0,,,,,,,,,,,,
2021-11-18 05:59:44,-34.57016700,-58.43241370,31,11,11,,,0,,,,,,,,,,,,
2021-11-18 07:07:22,-34.57016700,-58.43241370,31,10,11,,,0,,,,,,,,,,,,
2021-11-18 07:18:04,-34.57016700,-58.43241370,31,11,11,,,0,,,,,,,,,,,,
2021-11-18 08:00:35,-34.57016700,-58.43241370,31,10,14,,,0,,,,,,,,,,,,
2021-11-18 08:08:54,-34.57016700,-58.43241370,31,10,13,,,0,,,,,,,,,,,,
2021-11-18 08:10:56,-34.57016700,-58.43241370,31,10,14,,,0,,,,,,,,,,,,
2021-11-18 08:21:53,-34.57016700,-58.43241370,31,10,14,,,0,,,,,,,,,,,,
2021-11-18 08:31:43,-34.57016700,-58.43241370,31,10,13,,,0,,,,,,,,,,,,
2021-11-18 08:45:05,-34.57016700,-58.43241370,31,10,13,,,0,,,,,,,,,,,,
2021-11-18 08:55:18,-34.57016700,-58.43241370,31,10,14,,,0,,,,,,,,,,,,
2021-11-18 09:00:29,-34.57016700,-58.43241370,31,10,13,,,0,,,,,,,,,,,,
2021-11-18 09:36:33,-34.57016700,-58.43241370,31,11,14,,,0,,,,,,,,,,,,
2021-11-18 09:56:41,-34.57016700,-58.43241370,31,10,11,,,0,,,,,,,,,,,,
2021-11-18 10:06:05,-34.57016700,-58.43241370,31,10,12,,,0,,,,,,,,,,,,
2021-11-18 10:23:27,-34.57016700,-58.43241370,31,11,15,,,0,,,,,,,,,,,,
2021-11-18 10:55:35,-34.57016700,-58.43241370,31,10,14,,,0,,,,,,,,,,,,
2021-11-18 10:57:40,-34.57016700,-58.43241370,31,10,14,,,0,,,,,,,,,,,,
2021-11-18 11:01:51,-34.57016700,-58.43241370,31,10,13,,,0,,,,,,,,,,,,
2021-11-18 11:13:52,-34.57016700,-58.43241370,31,10,13,,,0,,,,,,,,,,,,
2021-11-18 11:30:45,-34.57016700,-58.43241370,31,10,13,,,0,,,,,,,,,,,,
2021-11-18 11:53:08,-34.57016700,-58.43241370,31,10,13,,,0,,,,,,,,,,,,
2021-11-18 13:33:49,-34.57016700,-58.43241370,31,9,13,,,0,,,,,,,,,,,,
2021-11-18 14:14:36,-34.57016700,-58.43241370,31,10,11,,,0,,,,,,,,,,,,
2021-11-18 15:08:37,-34.57076580,-58.43157850,35,7,18,,,0,,,,,,,,,,,,
2021-11-18 17:32:36,-34.57016700,-58.43241370,31,10,12,,,0,,,,,,,,,,,,
2021-11-18 17:48:47,-34.57016700,-58.43241370,31,10,13,,,0,,,,,,,,,,,,
2021-11-18 18:49:51,-34.57016700,-58.43241370,31,11,12,,,0,,,,,,,,,,,,
